"id","uuid","name","description"
1,"e31b03d0-ecdc-451e-aa8b-92311f6a6d06","Press de Banca",NULL
2,"dd69c501-38df-4273-b7fd-e9d748422ee8","Press Inclinado",NULL
3,"facf7358-a5fc-4f6a-b7aa-fbf8ea3240da","Press Inclinado con MÃ¡quina",NULL
4,"e0b90536-2531-4c2a-af37-1d293d3d0302","Peck Deck",NULL
5,"15b4ded7-5d1d-499c-b655-1f5426b9cf73","Triceps Copa",NULL
6,"19dbe4c6-6f63-4d89-8e12-44ad6e3403ed","Triceps Polea - Cuerdas",NULL
7,"d14268c9-e5f4-43b5-9417-f3ddff121cbc","Triceps Polea - Linea",NULL
8,"ff3b9328-958f-4559-a467-db3efa4e7b33","Triceps Polea - V",NULL
9,"1fab9fa6-f996-4758-84f7-1e6907d79f1e","Bicep Curls - Seated One Arm",NULL
10,"16cf53aa-ae64-4a63-9fbd-5f8c0d69d083","Remo",NULL
11,"50bcdb3f-aa50-4eba-b9e1-985f417f9ccd","Sentadillas","Con barra"
12,"a50d08da-3118-4a0b-a6e2-26ea034428d6","Hand grip",NULL
13,"dbdf733e-d207-491e-b400-5585a53e97f3","Planchas",NULL
14,"596c3325-5159-482f-aa0a-bc029140f748","Planchas (medio cuerpo)","Con rodillas abajo"
